Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
归纳,guīnà,tóm lại,,
归还,guīhuán,hoàn trả,,
当,dāng,"đương, khi, làm, đảm nhiệm",,
当上,dāng shàng,làm được,,
当事人,dāngshìrén,"đương sự, bên (trong kiẹn cáo)",,
当代,dāngdài,đương đại,,
当初,dāngchū,"hồi đầu, lúc đầu",,
当前,dāngqián,"phía trước, trước mắt",,
当务之急,dāngwùzhījí,việc khẩn cấp trước mắt,,
当地,dāngdì,"bản xứ, bản địa",,
当场,dāngchǎng,"tại chỗ, ngay tại chỗ",,
当天,dàngtiān,"trong ngày,",,
当家,dāngjiā,"lo nhà, đương việc nhà",,
当心,dāngxīn,"cẩn thận, lưu tâm",,
当时,dāngshí,"lúc đó, đương thời",,
当然,dāngrán,đương nhiên,,
当选,dāngxuǎn,trúng cử,,
当面,dāngmiàn,gặp mặt,,
录取,lùqǔ,"thu chọn, nhận vào",,
录音,lùyīn,thu âm,,
形势,xíngshì,"hình thế, địa hình",,
形容,xíngróng,"hình dung, miêu tả",,
形式,xíngshì,hình thức,,
形态,xíng tài,tình thái,,
形成,xíngchéng,hình thành,,
形状,xíngzhuàng,hình trạng,,
形象,xíngxiàng,hình tượng,,
彩票,cǎi piào,vé số,,
彩虹,cǎihóng,cầu vồng,,
影响,yǐngxiǎng,ảnh hưởng,,
影子,yǐngzi,"bóng, dáng, bóng hình",,
彻底,chèdǐ,triệt để,,
彼此,bǐcǐ,lẫn nhau,,
往,wǎng,"hướng tới, về; đi đến",,
往事,wǎngshì,việc đã qua,,
往常,wǎng cháng,"thường ngày, mọi khi",,
往往,wǎngwǎng,"luôn luôn, thường hay",,
往返,wǎngfǎn,"khứ hồi, lặp đi lặp lại",,
征收,zhēngshōu,trưng thu,,
征服,zhēngfú,chinh phục,,
征求,zhēngqiú,trưng cầu,,
待遇,dàiyù,đãi ngộ,,
很,hěn,rất,,
律师,lǜshī,luật sư,,
徒弟,túdì,đồ đệ,,
得,dé,trợ từ,,
得,děi,"phải, bắt buộc",,
得不偿失,débùchángshī,"lợi bất cập hại, được không bù mất",,
得不到,dé bù dào,đạt không được,,
得到,dédào,"được, đạt được",,
得力,délì,"đắc lực, được lợi",,
得天独厚,détiāndúhòu,được trời ưu ái,,
得意,déyì,đắc ý; tâm đắc; hả hê,,
得罪,dézuì,đắc tội,,
徘徊,páihuái,quanh quẩn một chỗ,,
循序渐进,xúnxùjiànjìn,tiến hành theo chất lượng,,
循环,xúnhuán,tuần hoàn,,
微不足道,wēibùzúdào,bé nhỏ không đáng kể,,
微微,wéiwéi,hơi hơi,,
微笑,wéixiào,nụ cười,,
微观,wéiguān,vi mô,,
心,xīn,"lòng, tâm",,
心底,xīndǐ,đáy lòng,,
心得,xīndé,tâm đắc,,
心态,xīntài,tâm thái,,
心情,xīnqíng,"tâm tình, trong lòng",,
心愿,xīnyuàn,tâm nguyện,,
心灵,xīnlíng,tâm linh,,
心理,xīnlǐ,tâm lý,,
心疼,xīnténg,yêu thương,,
心眼儿,xīnyǎn er,"nội tâm, trong lòng",,
心脏,xīnzàng,"trái tim, tấm lòng",,
心血,xīnxuè,tâm huyết,,
心计,xīnjì,tâm kế,,
必定,bìdìng,"nhất định, chắc chắn",,
必然,bìrán,tất nhiên,,
必要,bìyào,tất yếu,,
必需,bìxū,cần,,
必须,bìxū,bắt buộc,,
忌讳,jìhuì,"kiêng kị, điều kị",,
忍不住,rěn bù zhù,chịu không nổi,,
忍受,rěnshòu,"chịu đựng, nén chịu",,
忍耐,rěnnài,nhẫn nại,,
志愿者,zhìyuàn zhě,tình nguyện viên,,
志气,zhìqì,chí khí,,
忘,wàng,quên,,
忘掉,wàngdiào,quên mất đi,,
忘记,wàngjì,quên,,
忙,máng,bận,,
忙碌,mánglù,bận rộn,,
忠实,zhōngshí,trung thực,,
忠诚,zhōngchéng,chung thành,,
忧虑,yōulǜ,"lo âu, lo lắng",,
忧郁,yōuyù,"buồn thương, sầu muộn",,
快,kuài,nhanh,,
快乐,kuàilè,"vui vẻ, khoái lạc",,
快活,kuàihuó,"vui sướng, sung sướng",,
念,niàn,"đọc to, nhớ",,
忽然,hūrán,đột nhiên,,
忽略,hūlüè,"sơ hở, không lưu ý",,
忽视,hūshì,"xem nhẹ, lơ là",,
怀孕,huáiyùn,mang thai,,
怀念,huáiniàn,hoài niệm,,
怀疑,huáiyí,hoài nghi,,
态度,tàidù,thái độ,,
怎么,zěnme,"1. tại sao; 2. thế nào, như thế nào",,
怎么了,zěnmeliǎo,thế nào rồi,,
怎么样,zěnme yàng,"như nào, thế nào",,
怎样,zěnyàng,"như nào, như thế nào",,
怕,pà,sợ,,
思念,sīniàn,tưởng niệm,,
思想,sīxiǎng,"tư tưởng, suy nghĩ, ý nghĩ",,
思索,sīsuǒ,suy nghĩ tìm tòi,,
思绪,sīxù,"đầu mối tư tưởng, tâm tư",,
思维,sīwéi,"tư duy, suy nghĩ",,
思考,sīkǎo,suy nghĩ; tư khảo suy xét,,
怠慢,dàimàn,"lãnh đạm, lạnh nhạt, thất lễ",,
急于求成,jíyú qiú chéng,,,
急切,jíqiè,cấp thiết,,
急剧,jíjù,"cấp tốc, nhanh mạnh",,
急功近利,jígōngjìnlì,chỉ vì cái trước mắt,,
急忙,jímáng,"vội vàng, vội vã",,
急躁,jízào,"cuống, cuống lên",,
性别,xìngbié,giới tính,,
性命,xìngmìng,tính mệnh,,
性情,xìngqíng,tính tình,,
性感,xìnggǎn,gợi cảm,,
性格,xìnggé,tính cách,,
性能,xìngnéng,tính năng,,
性质,xìngzhì,tính chất,,
怪不得,guàibùdé,"thảo nào, chẳng trách gì",,
总,zǒng,tổng,,
总之,zǒngzhī,"nói chung, tóm lại",,
总共,zǒnggòng,tổng cộng,,
总和,zǒnghé,tổng hợp,,
总是,zǒng shì,luôn luôn,,
总理,zǒnglǐ,"tổng lý, thủ tướng",,
总算,zǒngsuàn,"tổng toán, ",,
总结,zǒngjié,tổng kết,,
总统,zǒngtǒng,tổng thống,,
总而言之,zǒng'éryánzhī,tóm lại,,
总裁,zǒngcái,"tổng tài, trọng tài",,
恋爱,liàn'ài,yêu đương,,
恍然大悟,huǎngrándàwù,"tỉnh ngộ, bỗng nhiên tỉnh ngộ",,
恐吓,kǒnghè,"dọa dẫm, dọa nạt, đe dọa",,
恐怕,kǒngpà,"e rằng, sợ rằng",,
恐怖,kǒngbù,khủng bố,,
恐惧,kǒngjù,"sỡ hãi, sỡ hệt",,
恐慌,kǒnghuāng,khủng hoảng,,
恐龙,kǒnglóng,khủng long,,
恢复,huīfù,"khôi phục, bình phục",,
恨,hèn,"hận, ghét",,
恨不得,hènbudé,hận không thể,,
恩怨,ēnyuàn,ân oán,,
恭敬,gōngjìng,cung kính,,
恰到好处,qiàdàohǎochù,just perfect,,
恰巧,qiàqiǎo,"vừa khéo, đúng lúc, vừa vặn",,
恰当,qiàdàng,"thích hợp, thỏa đáng",,
恳切,kěnqiè,khẩn thiết,,
恶劣,èliè,"tồi tệ, xấu xa",,
恶化,èhuà,"chuyển biến xấu, gay go",,
恶心,ěxīn,"buồn nôn, chán ghét",,
恼火,nǎohuǒ,"nổi cáu, bực",,
悄悄,qiāoqiāo,"lặng lẽ, nhẹ nhàng",,
悔恨,huǐhèn,hối hận,,
悠久,yōujiǔ,lâu đời,,
悠闲,yōuxián,"nhàn nhã, thong dong",,
患者,huànzhě,người mắc bệnh,,
您,nín,"bạn (trang trọng, lịch sự)",,
悬崖峭壁,xuányá qiàobì,,,
悬念,xuánniàn,thấp thỏm nhớ mong,,
悬挂,xuánguà,treo,,
悲哀,bēi'āi,bi ai,,
悲惨,bēicǎn,bi thảm,,
悲观,bēiguān,bi quan,,
情况,qíngkuàng,"tình hình, tình huống",,
情形,qíngxíng,tình hình,,
情感,qínggǎn,tình cảm,,
情愿,qíngyuàn,tình nguyện,,
情报,qíngbào,tình báo,,
情景,qíngjǐng,tình cảnh,,
情理,qínglǐ,"tình lý, lẽ phải",,
情绪,qíngxù,"tình tự, nỗi buồn, ưu tư",,
情节,qíngjié,tình tiết,,
惊动,jīngdòng,kinh động,,
惊奇,jīngqí,kinh ngạc,,
惊讶,jīngyà,kinh ngạc,,
惋惜,wànxí,"thương tiếc, thươngxót",,
惦记,diànjì,"nhớ, nhớ đến",,
惩罚,chéngfá,trừng phạt,,
惬意,qièyì,"mãn nguyện, thoải mái",,
惭愧,cánkuì,"xấu hổ, hổ thẹn",,
惯例,guànlì,"lệ cũ, thông lệ",,
想,xiǎng,1. muốn; 2. nghĩ; 3. nhớ,,
想不出,xiǎng bù chū,nghĩ không ra,,
想像,xiǎngxiàng,tưởng tượng,,
想念,xiǎngniàn,tưởng niệm,,
想方设法,xiǎngfāngshèfǎ,,,
想法,xiǎngfǎ,cách nghĩ,,
想要,xiǎng yào,"muốn, mong muốn",,
想象,xiǎngxiàng,tưởng tượng,,
惹祸,rěhuò,"gây rắc rối, gây tai họa",,
愈,yù,"khỏi bệnh, lành thương",,
愉快,yúkuài,"vui sướng, vui mừng",,
意义,yìyì,ý nghĩa,,
意向,yìxiàng,"ý đồ, mục đích",,
意味着,yìwèizhe,"có nghĩa là, với hàm ý",,
意图,yì tú,ý đồ,,
意外,yìwài,"ý ngoại, ngoài ý muốn",,
意志,yìzhì,ý chí,,
意思,yìsi,ý nghĩa,,
意料,yìliào,"dự liệu, dự đoán",,
意见,yìjiàn,ý kiến,,
意识,yìshí,ý thức,,
愚昧,yúmèi,"ngu muội, dốt nát",,
愚蠢,yúchǔn,"ngu xuẩn, ngu dại",,
感冒,gǎnmào,"cảm mạo, bệnh cảm",,
感冒药,gǎnmào yào,thuốc cảm,,
感到,gǎndào,cảm thấy,,
感动,gǎndòng,cảm động,,
感受,gǎnshòu,"cảm thụ, cảm nhận",,
感情,gǎnqíng,"cảm tình, tình cảm",,
感想,gǎnxiǎng,cảm tưởng,,
感慨,gǎnkǎi,"cảm khái, xúc động",,
感染,gǎnrǎn,"bị nhiễm, lây; cảm hóa",,
感激,gǎnjī,cảm kích,,
感觉,gǎnjué,"cảm giác, cho rằng",,
感谢,gǎnxiè,cảm tạ,,
愣,lèng,"sững sờ, ngây, ngẩn",,
愤怒,fènnù,phẫn nộ,,
愿意,yuànyì,"1. bằng lòng, sẵn lòng; 2. hi vọng; mong muốn",nguyện ý,
愿望,yuànwàng,nguyện vọng,,
慈祥,cíxiáng,"hiền từ, hiền hậu",,
慌张,huāngzhāng,hoang mang,,
慌忙,huāngmáng,"vội vàng, lật đật",,
慎重,shènzhòng,thận trọng,,
慢,màn,chậm,,
慢性,mànxìng,"mãn tính, mạn tính",,
慢慢,màn man,"chậm, từ từ",,
慰问,wèiwèn,thăm hỏi,,
慷慨,kāngkǎi,"hùng hồn, rộng rãi, hào hiệp",,
憋,biē,"bịt, nín, kìm nén",,
懂,dǒng,hiểu,,
懒,lǎn,lười,,
懒惰,lǎnduò,"lười biếng, lười nhác",,
戏剧,xìjù,"hí kịch, kịch, tuồng",,
成,chéng,thành,,
成为,chéngwéi,"trở thành, thành ra",,
成交,chéngjiāo,hoàn thành giao dịch,,
成分,chéngfèn,thành phần,,
成功,chénggōng,thành công,,
成员,chéngyuán,thành viên,,
成天,chéngtiān,"suốt ngày, cả ngày",,
成就,chéngjiù,thành tựu,,
成年,chéngnián,thành niên,,
成心,chéng xīn,thành tâm,,
成效,chéngxiào,"hiệu quả, công hiệu",,
成本,chéngběn,"chi phí, thành vốn",,
成果,chéngguǒ,thành quả,,
成熟,chéngshú,"thành thục, trưởng thành",,
成立,chénglì,thành lập,,
成绩,chéngjī,thành tích,,
成语,chéngyǔ,thành ngữ,,
成败,chéngbài,thành bại,,
成长,chéngzhǎng,"thành trưởng, trưởng thành",,
我,wǒ,tôi,,
我们,wǒmen,chúng tôi,,
戒备,jièbèi,"cảnh giới, phòng bị",,
戒指,jièzhǐ,nhẫn cưới,,
戒烟,jièyān,cai thuốc lá,,
或,huò,"hoặc, hay là",,
或者,huòzhě,hoặc là,,
或许,huòxǔ,"có thể, có lẽ",,
战争,zhànzhēng,chiến tranh,,
战士,zhànshì,chiến sĩ,,
战役,zhànyì,chiến dịch,,
战斗,zhàndòu,chiến đấu,,
战术,zhànshù,chiến thuật,,
战略,zhànlüè,chiến lược,,
截至,jiézhì,"tính đến, cho đến",,
戴,dài,"đeo, đội (nón, mắt kính)",,
房东,fángdōng,chủ nhà,,
房子,fángzi,nhà,,
房租,fángzū,tiền thuê nhà,,
房间,fángjiān,phòng,,
所,suǒ,sở,,
所以,suǒyǐ,"do đó, vì vậy",,
所有,suǒyǒu,"tất cả, mọi, sở hữu",,
所有,suǒ yǒu,"tất cả, mọi, sở hữu",,
所谓,suǒwèi,"sở vị, cái gọi là",,
扁,biǎn,"dẹp, bẹt",,
扇子,shànzi,"quạt, cái quạt",,
手,shǒu,"tay, cái tay",,
手势,shǒushì,"dùng tay ra hiệu, đông tác tay",,
手套,shǒutào,"thủ sáo, bao tay",,
手工,shǒugōng,thủ công,,
手指,shǒuzhǐ,"thủ chỉ, ngón tay",,
手术,shǒushù,thủ thuật,,
手机,shǒujī,điện thoại di động,,
手段,shǒuduàn,thủ đoạn,,
手法,shǒufǎ,thủ pháp,,
手续,shǒuxù,thủ tục,,
手艺,shǒuyì,"tay nghề, kỹ thuật",,
手表,shǒubiǎo,đồng hồ đeo tay,,
才,cái,mới,,
才干,cáigàn,tài cán,,
才能,cáinéng,tài năng,,
扎,zhā,"bó, tết, buộc",,
扎实,zhāshi,"vững chắc, chắc chắn",,
扑,pū,"bổ nhào, nhào về trước",,
扒,bā,"bíu, đào, cào",,
打交道,dǎjiāodào,chào hỏi,,
打仗,dǎzhàng,đánh trận,,
打击,dǎjí,đả kích,,
打包,dǎbāo,đóng gói về,,
打印,dǎyìn,in,,
打听,dǎtīng,hỏi thăm,,
打喷嚏,dǎ pēntì,hắc xì,,
打官司,dǎ guānsī,đi kiện,,
打工,dǎgōng,làm công,,
打扫,dǎsǎo,dọn dẹp,,
打扮,dǎbàn,trang điểm,,
打扰,dǎrǎo,làm phiền,,
打折,dǎzhé,giảm giá,,
打招呼,dǎzhāohū,"chào hỏi, làm quen",,
打架,dǎjià,đánh nhau,,
打猎,dǎliè,đánh săn bắt,,
打电话,dǎ diànhuà,gọi điện,,
打算,dǎsuàn,"dự định, lên kế hoạch",,
打篮球,dǎ lánqiú,đánh bóng chuyền,,
打败,dǎbài,"đánh bại, Đả Bại",,
打量,dǎliang,"quan sát, nhìn đánh giá",,
打针,dǎzhēn,"tiêm, chích",,
扔,rēng,"ném, đẩy, vứt bỏ, vứt đi",,
托运,tuōyùn,ủy thác vận chuyển,,
扛,káng,"giơ lên, nhấc lên, vác ",,
执照,zhízhào,giấy phép; giấy chứng nhận,,
执行,zhíxíng,chấp hành,,
扩充,kuòchōng,"mở rộng, tăng thêm",,
扩大,kuòdà,"mở rộng, khuếch đại",,
扩张,kuòzhāng,khuếch trương,,
扩散,kuòsàn,"khuếch tán, lan rộng",,
扭转,niǔzhuǎn,"xoay, quay",,
扮演,bànyǎn,đóng vai,,
扰乱,rǎoluàn,quấy nhiễu,,
扶,fú,"đỡ, nâng, vịn",,
批,pī,"phát, mài, giũa",,
批准,pīzhǔn,phê chuẩn,,
批判,pīpàn,phê phán,,
批发,pīfā,ban phát,,
批评,pīpíng,phê bình,,
找,zhǎo,tìm,,
找到,zhǎodào,tìm thấy,,
承办,chéngbàn,"nhận làm, đảm nhận",,
承包,chéngbāo,"nhận thầu, nhận khoán",,
承受,chéngshòu,đảm nhận,,
承担,chéngdān,đảm trách,,
承认,chéngrèn,đảm nhận,,
承诺,chéngnuò,lời hứa,,
技巧,jìqiǎo,kỹ xảo,,
技术,jìshù,kỹ thuật,,
技能,jìnéng,kỹ năng,,
抄,chāo,"sao chép, đạo văn, tịch thu",,
把,bǎ,"đem, mang, cầm nắm, giữ canh giữ",,
把关,bǎguān,giữ của ải,,
把戏,bǎxì,"xiếc, tạp kỹ, chiêu lừa bịp",,
把手,bǎshǒu,"bắt tay, nắm tay",,
把握,bǎwò,nắm bắt,,
抑制,yìzhì,"ức chế, đè xuống",,
抓,zhuā,"nắm, bắt",,
抓住,zhuā zhù,"nắm chắc, nắm vững",,
抓紧,zhuājǐn,nắm chặt,,
投入,tóurù,đầu tư vào,,
投掷,tóuzhí,"ném, vứt, quăng",,
投机,tóujī,đầu cơ,,
投票,tóupiào,bỏ phiếu,,
投资,tóuzī,đầu tư,,
投降,tóuxiáng,,,
抗议,kàngyì,kháng nghị,,
折,zhé,"gãy, thiệt; lộn nhào",,
折磨,zhémó,"dằn vặt, giày vò",,
折腾,zhēteng,"lăn qua lăn lại, đi qua đi lại",,
抚养,fǔyǎng,"nuôi nấng, nuôi dưỡng",,
抛弃,pāoqì,vứt bỏ,,
抢,qiǎng,"cướp, giành",,
抢劫,qiǎngjié,"cướp đoạt, cướp bóc",,
抢救,qiǎngjiù,cấp cứu,,
护士,hùshì,"y tá, hộ sĩ",,
护照,hùzhào,hộ chiếu,,
报,bào,"báo; báo tin, báo cáo",,
报仇,bàochóu,báo thù,,
报到,bàodào,báo đến,,
报名,bàomíng,"báo danh, đăng ký, ghi tên",,
报告,bàogào,báo cáo,,
报复,bàofù,"trả thù, trả miếng",,
报服务,bào fúwù,dịch vụ báo,,
报社,bàoshè,"tòa soạn, tòa báo",,
报答,bàodá,báo đáp,,
报纸,bàozhǐ,báo chí,,
报考,bàokǎo,"báo thi, báo khảo",,
报道,bàodào,"đưa tin, phát tin",báo đạo,
报酬,bàochóu,thù lao,,
报销,bàoxiāo,thanh toán (báo với cấp trên để tt),,
披,pī,"khoác, choàng; mở ra",,
抬,tái,"giơ lên, ngẩng",,
抱,bào,"bế, bồng, ôm",,
抱怨,bàoyuàn,"báo oán, than phiền",,
抱歉,bàoqiàn,"không phải, xin thứ lỗi",,
抱着,bàozhe,ôm lấy,,
抱负,bàofù,"hoài bão, tham vọng",,
抵制,dǐzhì,"ngăn chặn, ngăn lại",,
抵抗,dǐkàng,chống lại,,
抵达,dǐdá,"đến nơi, đạt được",,
抹杀,mǒshā,"gạt bỏ, xóa bỏ",,
押金,yājīn,tiền thế chấp,,
抽,chōu,"hút, dành, rút",,
抽屉,chōutì,ngăn kéo,,
抽烟,chōuyān,hút thuốc,,
抽空,chōukòng,"bớt thời gì, dành thời gian",,
抽象,chōuxiàng,trừu tượng,,
拄,zhǔ,chống (gậy),,
担任,dānrèn,"đảm nhậm, đảm nhiệm",,
担保,dānbǎo,bảo đảm,,
担心,dānxīn,lo lắng,,
拆,chāi,"bài tiết, đại tiểu tiện",,
拉,lā,kéo,,
拍,pāi,"chụp hình, quay phim",,
拐弯,guǎiwān,"rẽ, quẹo",,
拐杖,guǎizhàng,"gậy, can",,
拒绝,jùjué,"cự tuyệt, từ chối",,
拔苗助长,bámiáozhùzhǎng,"đốt cháy giai đoạn, nóng vội, ",,
拖延,tuōyán,"kéo dài, lần lựa, trì hoãn",,
拘束,jūshù,"hạn chế, hà khắc",,
拘留,jūliú,"câu giữ, giữ lại, tạm giam",,
招待,zhāodài,chiêu đãi,,
招投标,zhāo tóubiāo,,,
招收,zhāoshōu,tuyển nhận; thu nhận,,
招聘,zhāopìn,tuyển dụng,,
招聘会,zhāopìn huì,hội tuyển dụng,,
拜年,bàinián,bái niên,,
拜托,bàituō,"bài thoát, bài trừ",,
拜访,bàifǎng,thăm viếng,,
拟定,nǐdìng,"vạch ra, dự định",,
拣,jiǎn,"lựa chọn, nhặt lấy",,
拥护,yǒnghù,"ủng hộ, tán thành",,
拥抱,yǒngbào,"ôm, ôm nhau",,
拥挤,yǒngjǐ,"chen, chen chúc",,
拥有,yǒngyǒu,có,,
拦,lán,"chặn, chắn",,
拧,níng,"vặn, vắt",,
拨打,bōdǎ,"gọi số, quay số",,
拳头,quántóu,"nắm tay, quả đấm",,
拼命,pīnmìng,"liều mạng, bạt mạng",,
拼搏,pīnbó,đấu tranh,,
拽,zhuāi,"quăng, ném, vứt",,
拾,shí,"nhặt, mót, thu dọn, sắp xếp",,
拿,ná,"cầm,  nắm giữ",,
拿出,ná chū,"cầm ra, lấy ra",,
拿到,ná dào,"cầm được, lấy được",,
拿手,náshǒu,"sở trường, tài năng",,
拿来,ná lái,"lấy ra, mang ra",,
持久,chíjiǔ,kéo dài,,
持续,chíxù,duy trì,,
挂,guà,"treo, móc, khoác",,
挂号,guàhào,lấy số,,
指,zhǐ,"ngón tay, chỉ",,
指令,zhǐlìng,"chỉ lệnh, chỉ thị, mệnh lệnh",,
指南针,zhǐnánzhēn,kim chỉ nam,,
指定,zhǐdìng,chỉ định,,
指导,zhǐdǎo,chỉ đạo,,
指挥,zhǐhuī,chỉ huy,,
指望,zhǐwàng,"trông chờ, mong đợi",,
指标,zhǐbiāo,"chỉ tiêu, mức",,
指点,zhǐdiǎn,chỉ điểm,,
指甲,zhǐjiǎ,móng tay,,
指示,zhǐshì,chỉ thị,,
指责,zhǐzé,"chỉ trích, trách móc",,
按,àn,"1. theo, dựa theo; 2. ấn, giữ",,
按摩,ànmó,massage,,
按时,ànshí,"đúng hạn, theo thời gian",,
按照,ànzhào,"theo, dựa vào",,
挎,kuà,"cắp, xách, đeo, vác",,
挑剔,tiāotì,"xoi mói, bới móc",,
挑战,tiǎozhàn,thử thách,,
挑拨,tiǎobō,"gây xích mích, gây chia rẽ",,
挑衅,tiǎoxìn,"khiêu khích, gây hấn",,
挖掘,wājué,khai thác,,
挡,dǎng,"che, ngăn chặn",,
挣,zhēng,kiếm (tiền),,
挣扎,zhēngzhá,"ngọ ngoạy, vùng vẫy",,
挣钱,zhèng qián,kiếm tiền,,
挤,jǐ,"chen, dồn",,
挥,huī,"khua, khoa, vẫy",,
挥霍,huīhuò,"tiêu xài, tiêu pha",,
挨,āi,"bị(đánh), chịu đựng",,
挪,nuó,"chuyển, di chuyển",,
挫折,cuòzhé,ngăn trở,,
振兴,zhènxīng,chấn hưng,,
振动,zhèndòng,chấn động,,
振奋,zhènfèn,"phấn chấn, phần khởi",,
挺,tǐng,rất,,
挺拔,tǐngbá,"cao và thẳng, thẳng tắp",,
挽回,wǎnhuí,"xoay chuyển, vãn hồi",,
挽救,wǎnjiù,cứu vãn,,
捆绑,kǔnbǎng,"trói, buộc, ràng buộc",,
捍卫,hànwèi,"bảo vệ, giữ gìn",,
捎,shāo,"mang hộ, mang giùm",,
捏,niē,"nhặt, cầm",,
捐,juān,quyên góp,,
捕捉,bǔzhuō,"bắt tóm, chụp",,
捞,lāo,"kiếm, moi, vét",,
损坏,sǔnhuài,tổn hại,,
损失,sǔnshī,tổn thất,,
捡,jiǎn,"nhặt, lượm",,
换,huàn,"đổi, hoán",,
捣乱,dǎoluàn,làm loạn,,
捧,pěng,"nâng, bê, bưng",,
据悉,jùxī,,,
据说,jùshuō,nghe nói,,
掀起,xiānqǐ,"vén; mở, trào dâng",,
授予,shòuyǔ,"trao tặng (huân chương, phần thưởng)",,
掉,diào,"rớt, rơi",,
掌声,zhǎngshēng,tiếng vỗ tay,,
掌握,zhǎngwò,nắm bắt,,
掏,tāo,"đào, lấy ra",,
掐,qiā,"ngắt, cấu, véo",,
排列,páiliè,"sắp xếp, xếp đặt (theo thứ tự)",,
排放,páifàng,"bài phóng, thả ra",,
排斥,páichì,bài xích,,
排球,páiqiú,bóng chuyền,,
排队,páiduì,xếp hàng,,
排除,páichú,bài trừ,,
掠夺,lüèduó,"cướp đoạt, cướp bóc",,
探望,tànwàng,"nhìn, ngó, thăm viếng",,
探测,tàncè,"thăm dò, thám trắc",,
探索,tànsuǒ,"tìm tòi, tìm kiếm",,
探讨,tàntǎo,nghiên cứu thảo luận,,
接,jiē,tiếp,,
接到,jiē dào,nhận được,,
接受,jiēshòu,tiếp nhận,,
接待,jiēdài,tiếp đãi,,
接着,jiēzhe,"đón, đỡ lấy; tiếp theo",,
接触,jiēchù,tiếp xúc,,
接近,jiējìn,"tiếp cận,  sắp đến, giống nhau",,
接连,jiēlián,liên tiếp,,
控制,kòngzhì,khống chế,,
推,tuī,"đẩy, thúc, mở rộng, phát triển",,
推出,tuīchū,tung ra,,
推广,tuīguǎng,mở rộng,,
推测,tuīcè,"suy nghĩ, dự đoán",,
